10,0,B38400,1000,13.438708
10,0,B38400,1000,15.036991
10,0,B38400,1000,5.037184
20,0,B38400,1000,5.036443
20,0,B38400,1000,15.581720
20,0,B38400,1000,15.583646
30,0,B38400,1000,5.310339
30,0,B38400,1000,15.037301
30,0,B38400,1000,25.309769
40,0,B38400,1000,45.582621
40,0,B38400,1000,35.310938
40,0,B38400,1000,35.037150
50,0,B38400,1000,25.855649
50,0,B38400,1000,35.856395
50,0,B38400,1000,46.140564
60,0,B38400,1000,35.310546
60,0,B38400,1000,56.953471
60,0,B38400,1000,-1
70,0,B38400,1000,73.711795
70,0,B38400,1000,35.310394
70,0,B38400,1000,25.583223
80,0,B38400,1000,45.595130
80,0,B38400,1000,65.322535
80,0,B38400,1000,65.857001
90,0,B38400,1000,-1
90,0,B38400,1000,-1
90,0,B38400,1000,-1
100,0,B38400,1000,45.094427
100,0,B38400,1000,64.225387
100,0,B38400,1000,-1
